0.0000500000   90.2742634599
0.0000507315   91.5416503369
0.0000514736   92.8268294572
0.0000522266   94.1300504954
0.0000529907   95.4515664692
0.0000537659   96.7916339346
0.0000545524   98.1505130381
0.0000553505   99.5284675667
0.0000561602   100.9257649985
0.0000569818   102.3426765816
0.0000578154   103.7794775680
0.0000586612   105.2364471664
0.0000595193   106.7138685063
0.0000603901   108.2120286932
0.0000612735   109.7312188641
0.0000621699   111.2717342441
0.0000630794   112.8338741782
0.0000640022   114.4179420814
0.0000649385   116.0242455800
0.0000658885   117.6530966116
0.0000668524   119.3048114852
0.0000678304   120.9797109426
0.0000688227   122.6781202202
0.0000698295   124.4003691267
0.0000708510   126.1467921444
0.0000718875   127.9177284566
0.0000729392   129.7135220029
0.0000740062   131.5345215453
0.0000750888   133.3810807364
0.0000761873   135.2535581873
0.0000773019   137.1523174532
0.0000784328   139.0777269776
0.0000795802   141.0301603269
0.0000807443   143.0099962915
0.0000819256   145.0176189582
0.0000831241   147.0534177843
0.0000843401   149.1177876749
0.0000855739   151.2111292554
0.0000868258   153.3338491046
0.0000880960   155.4863595425
0.0000893848   157.6690786779
0.0000906924   159.8824304904
0.0000920191   162.1268449122
0.0000933653   164.4027579023
0.0000947312   166.7106111957
0.0000961170   169.0508522886
0.0000975231   171.4239349009
0.0000989498   173.8303190880
0.0001003973   176.2704713287
0.0001018661   178.7448646147
0.0001033563   181.2539785535
0.0001048683   183.7982996832
0.0001064024   186.3783215531
0.0001079590   188.9945446281
0.0001095384   191.6474763785
0.0001111408   194.3376313780
0.0001127667   197.0655314024
0.0001144164   199.8317055267
0.0001160902   202.6366901850
0.0001177885   205.4810292877
0.0001195117   208.3652743534
0.0001212600   211.2899846159
0.0001230339   214.2557271315
0.0001248338   217.2630768882
0.0001266600   220.3126168681
0.0001285130   223.4049378438
0.0001303930   226.5406386696
0.0001323005   229.7203265496
0.0001342360   232.9446171541
0.0001361997   236.2141347374
0.0001381922   239.5295122564
0.0001402139   242.8913914185
0.0001422651   246.3004225029
0.0001443463   249.7572647173
0.0001464580   253.2625864320
0.0001486005   256.8170653067
0.0001507744   260.4213884185
0.0001529801   264.0762523912
0.0001552181   267.7823639642
0.0001574888   271.5404412276
0.0001597927   275.3512126570
0.0001621304   279.2154169443
0.0001645022   283.1338031419
0.0001669087   287.1071308072
0.0001693504   291.1361701467
0.0001718279   295.2217009632
0.0001743416   299.3645110438
0.0001768921   303.5653986233
0.0001794798   307.8251729355
0.0001821055   312.1446543617
0.0001847695   316.5246745820
0.0001874726   320.9660767460
0.0001902151   325.4697169858
0.0001929978   330.0364656138
0.0001958212   334.6672053041
0.0001986859   339.3628310466
0.0002015925   344.1242503188
0.0002045416   348.9523832588
0.0002075339   353.8481627862
0.0002105700   358.8125329613
0.0002136504   363.8464486519
0.0002167759   368.9508777289
0.0002199472   374.1268013734
0.0002231648   379.3752142564
0.0002264295   384.6971247213
0.0002297420   390.0935550455
0.0002331029   395.5655429634
0.0002365130   401.1141417624
0.0002399730   406.7404193525
0.0002434836   412.4454584268
0.0002470456   418.2303566641
0.0002506597   424.0962269348
0.0002543266   430.0441972968
0.0002580472   436.0754090403
0.0002618222   442.1910176445
0.0002656524   448.3921943732
0.0002695387   454.6801265080
0.0002734818   461.0560175625
0.0002774826   467.5210874991
0.0002815420   474.0765730701
0.0002856607   480.7237288148
0.0002898397   487.4638268424
0.0002940798   494.2981566906
0.0002983819   501.2280255582
0.0003027470   508.2547585421
0.0003071759   515.3796988779
0.0003116696   522.6042077851
0.0003162291   529.9296631095
0.0003208553   537.3574608272
0.0003255491   544.8890158734
0.0003303116   552.5257623927
0.0003351438   560.2691539933
0.0003400467   568.1206640034
0.0003450213   576.0817853842
0.0003500686   584.1540301365
0.0003551898   592.3389304333
0.0003603860   600.6380391250
0.0003656581   609.0529300092
0.0003710074   617.5851981047
0.0003764349   626.2364599258
0.0003819418   635.0083531973
0.0003875293   643.9025363306
0.0003931985   652.9206897839
0.0003989507   662.0645165322
0.0004047870   671.3357423576
0.0004107087   680.7361161432
0.0004167170   690.2674101581
0.0004228133   699.9314195233
0.0004289987   709.7299618972
0.0004352745   719.6648789857
0.0004416422   729.7380369774
0.0004481031   739.9513268538
0.0004546585   750.3066647043
0.0004613097   760.8059919642
0.0004680583   771.4512732340
0.0004749056   782.2444959434
0.0004818531   793.1876734159
0.0004889022   804.2828453633
0.0004960544   815.5320782104
0.0005033113   826.9374654240
0.0005106743   838.5011278357
0.0005181450   850.2252137987
0.0005257250   862.1118995436
0.0005334159   874.1633896702
0.0005412194   886.3819174993
0.0005491369   898.7697454238
0.0005571704   911.3291652627
0.0005653213   924.0624980085
0.0005735915   936.9720880567
0.0005819826   950.0603057471
0.0005904965   963.3295515860
0.0005991350   976.7822566547
0.0006078998   990.4208829653
0.0006167929   1004.2479238185
0.0006258161   1018.2659043205
0.0006349712   1032.4773827141
0.0006442603   1046.8849501863
0.0006536853   1061.4912307849
0.0006632482   1076.2988817960
0.0006729509   1091.3105941270
0.0006827956   1106.5290926941
0.0006927843   1121.9571347341
0.0007029192   1137.5975020088
0.0007132023   1153.4530076906
0.0007236358   1169.5264996631
0.0007342220   1185.8208608974
0.0007449631   1202.3390098313
0.0007558613   1219.0839007504
0.0007669189   1236.0585238664
0.0007781382   1253.2659049646
0.0007895217   1270.7091065519
0.0008010718   1288.3912284516
0.0008127908   1306.3154081974
0.0008246812   1324.4848214305
0.0008367456   1342.9026822750
0.0008489865   1361.5722377097
0.0008614065   1380.4967595908
0.0008740081   1399.6795563671
0.0008867941   1419.1239753413
0.0008997672   1438.8334030421
0.0009129300   1458.8112655973
0.0009262854   1479.0610291183
0.0009398361   1499.5862007136
0.0009535852   1520.3903293224
0.0009675353   1541.4770051897
0.0009816895   1562.8498601586
0.0009960508   1584.5125680573
0.0010106222   1606.4688450884
0.0010254067   1628.7224497510
0.0010404076   1651.2771690163
0.0010556279   1674.1368152323
0.0010710708   1697.3052418743
0.0010867397   1720.7863448183
0.0011026377   1744.5840626749
0.0011187684   1768.7023771223
0.0011351350   1793.1453126836
0.0011517411   1817.9169279177
0.0011685901   1843.0213166527
0.0011856856   1868.4626158169
0.0012030312   1894.2450059799
0.0012206305   1920.3727116479
0.0012384873   1946.8500015565
0.0012566053   1973.6811872543
0.0012749884   2000.8706066549
0.0012936404   2028.4226304627
0.0013125653   2056.3416728477
0.0013317670   2084.6321918186
0.0013512496   2113.2986894432
0.0013710172   2142.3457120660
0.0013910741   2171.7778476757
0.0014114243   2201.5997086896
0.0014320722   2231.8159424804
0.0014530223   2262.4312397087
0.0014742787   2293.4503344905
0.0014958462   2324.8780045292
0.0015177292   2356.7190712394
0.0015399323   2388.9783914660
0.0015624602   2421.6608252230
0.0015853176   2454.7712618112
0.0016085095   2488.3146312468
0.0016320406   2522.2959042429
0.0016559160   2556.7200921786
0.0016801406   2591.5922470570
0.0017047197   2626.9174559340
0.0017296583   2662.7008278926
0.0017549617   2698.9475074177
0.0017806353   2735.6626778043
0.0018066845   2772.8515610123
0.0018331148   2810.5194175088
0.0018599317   2848.6715459829
0.0018871409   2887.3132570198
0.0019147482   2926.4498375906
0.0019427594   2966.0865993066
0.0019711803   3006.2288859605
0.0020000170   3046.8820731182
0.0020292756   3088.0515676930
0.0020589621   3129.7428071751
0.0020890830   3171.9612378387
0.0021196445   3214.7122996075
0.0021506531   3258.0014555449
0.0021821154   3301.8341942621
0.0022140379   3346.2160292707
0.0022464274   3391.1524983133
0.0022792907   3436.6491613033
0.0023126348   3482.7115594081
0.0023464667   3529.3452052644
0.0023807935   3576.5556251736
0.0024156225   3624.3483607177
0.0024509610   3672.7289677870
0.0024868165   3721.7030155804
0.0025231966   3771.2760813957
0.0025601088   3821.4536826752
0.0025975610   3872.2412835979
0.0026355611   3923.6443482831
0.0026741172   3975.6683411421
0.0027132373   4028.3187254783
0.0027529296   4081.6009620533
0.0027932027   4135.5205024591
0.0028340648   4190.0827382103
0.0028755248   4245.2930180214
0.0029175913   4301.1566765963
0.0029602732   4357.6790332839
0.0030035795   4414.8653902844
0.0030475193   4472.7210308174
0.0030921020   4531.2511996701
0.0031373368   4590.4609959942
0.0031832334   4650.3554351619
0.0032298014   4710.9394954502
0.0032770507   4772.2181158917
0.0033249911   4834.1961939119
0.0033736330   4896.8785829227
0.0034229864   4960.2700666578
0.0034730618   5024.3752692842
0.0035238697   5089.1987243863
0.0035754209   5154.7449027349
0.0036277263   5221.0182094247
0.0036807969   5288.0229809612
0.0037346439   5355.7634822855
0.0037892785   5424.2438576921
0.0038447125   5493.4680224071
0.0039009574   5563.4397708520
0.0039580251   5634.1628017882
0.0040159276   5705.6407148177
0.0040746773   5777.8770068347
0.0041342864   5850.8750680349
0.0041947675   5924.6380947667
0.0042561334   5999.1689765878
0.0043183970   6074.4704460664
0.0043815715   6150.5450991485
0.0044456702   6227.3953909479
0.0045107066   6305.0236314922
0.0045766944   6383.4319795743
0.0046436476   6462.6223223485
0.0047115802   6542.5961948119
0.0047805067   6623.3549372999
0.0048504414   6704.8997065994
0.0049213993   6787.2314710590
0.0049933952   6870.3510056625
0.0050664443   6954.2588803573
0.0051405621   7038.9552640217
0.0052157642   7124.4398811002
0.0052920664   7210.7122092222
0.0053694849   7297.7714853699
0.0054480359   7385.6167002903
0.0055277361   7474.2465928877
0.0056086022   7563.6596300716
0.0056906513   7653.8537748444
0.0057739007   7744.8265113199
0.0058583680   7836.5750216151
0.0059440710   7929.0961853088
0.0060310277   8022.3865733384
0.0061192566   8116.4424419054
0.0062087761   8211.2596902781
0.0062996052   8306.8335171635
0.0063917631   8403.1585497633
0.0064852692   8500.2290441050
0.0065801432   8598.0388811703
0.0066764052   8696.5815604193
0.0067740753   8795.8501933710
0.0068731743   8895.8374250393
0.0069737231   8996.5350055495
0.0070757427   9097.9340480985
0.0071792549   9200.0252172306
0.0072842813   9302.7987228408
0.0073908442   9406.2443136778
0.0074989660   9510.3512709698
0.0076086695   9615.1082532538
0.0077199779   9720.5027441570
0.0078329147   9826.5215059876
0.0079475036   9933.1507636204
0.0080637689   10040.3761982717
0.0081817350   10148.1829414693
0.0083014269   10256.5555691523
0.0084228697   10365.4778685865
0.0085460892   10474.9323286772
0.0086711112   10584.9006838873
0.0087979623   10695.3640459530
0.0089266690   10806.3028988981
0.0090572586   10917.6970943857
0.0091897587   11029.5258451506
0.0093241971   11141.7672763448
0.0094606022   11254.3978628013
0.0095990028   11367.3932420151
0.0097394281   11480.7283377967
0.0098819077   11594.3773575714
0.0100264717   11708.3137901958
0.0101731505   11822.5103932102
0.0103219751   11936.9385262968
0.0104729768   12051.5677407310
0.0106261876   12166.3667068190
0.0107816398   12281.3033032229
0.0109393661   12396.3446181709
0.0110993997   12511.4569514157
0.0112617746   12626.6057832971
0.0114265248   12741.7548520857
0.0115936852   12856.8660037960
0.0117632910   12971.9001801916
0.0119353780   13086.8174801077
0.0121099825   13201.5771666929
0.0122871413   13316.1376756825
0.0124668918   13430.4565358337
0.0126492719   13544.4890351309
0.0128343201   13658.1884566277
0.0130220753   13771.5071778514
0.0132125773   13884.3967173044
0.0134058661   13996.8077504669
0.0136019826   14108.6901271703
0.0138009681   14219.9927254413
0.0140028646   14330.6619727749
0.0142077147   14440.6425151563
0.0144155615   14549.8781609203
0.0146264490   14658.3119181028
0.0148404216   14765.8860222990
0.0150575244   14872.5419662383
0.0152778033   14978.2202286000
0.0155013046   15082.8585895541
0.0157280756   15186.3933008331
0.0159581641   15288.7599208419
0.0161916185   15389.8933579295
0.0164284882   15489.7279133964
0.0166688231   15588.1973265322
0.0169126739   15685.2344219723
0.0171600920   15780.7697412811
0.0174111297   15874.7328482593
0.0176658398   15967.0528830625
0.0179242761   16057.6586203594
0.0181864931   16146.4785296621
0.0184525461   16233.4408376199
0.0187224912   16318.4731868563
0.0189963855   16401.5018403678
0.0192742865   16482.4527423956
0.0195562530   16561.2518304433
0.0198423445   16637.8251107322
0.0201326212   16712.0987357260
0.0204271445   16783.9990839316
0.0207259763   16853.4528911014
0.0210291798   16920.3873924711
0.0213368190   16984.7303153528
0.0216489586   17046.4099517282
0.0219656645   17105.3552462803
0.0222870037   17161.4958858770
0.0226130437   17214.7624161521
0.0229438534   17265.0878035327
0.0232795026   17312.4083427897
0.0236200620   17356.6616726394
0.0239656036   17397.7866713309
0.0243162001   17435.7235446801
0.0246719255   17470.4139143678
0.0250328549   17501.8010473961
